"","Card.Number","Date","flow","day"
"1","2220969402",2017-09-18,"Yummex",2
"2","2222215435",2017-09-20,"Crossover into Hotel / Leisure",4
"3","2451805292",2017-09-19,"Crossover into Hotel / Leisure",3
"4","2906582022",2017-09-20,"Yummex",4
"5","2925274222",2017-09-20,"Crossover into Hotel / Leisure",4
"6","2936205329",2017-09-20,"Crossover into Hotel / Leisure",4
"7","2962224299",2017-09-18,"Crossover into Hotel / Leisure",2
"8","2972514232",2017-09-18,"Yummex",2
"9","3301022051",2017-09-20,"Yummex",4
"10","3301022052",2017-09-20,"Yummex",4
"11","3301022058",2017-09-19,"Yummex",3
"12","3301022058",2017-09-20,"Yummex",4
"13","3301022102",2017-09-20,"Yummex",4
"14","3302023338",2017-09-19,"Gulf Host",3
"15","3302023353",2017-09-18,"Yummex",2
"16","3302023353",2017-09-19,"Crossover into Hotel / Leisure",3
"17","3302023354",2017-09-19,"Gulf Host",3
"18","3302023355",2017-09-19,"Yummex",3
"19","3302023363",2017-09-18,"Gulf Host",2
"20","3302023363",2017-09-19,"Gulf Host",3
"21","3302023363",2017-09-20,"Gulf Host",4
"22","3302023365",2017-09-18,"Gulf Host",2
"23","3302023365",2017-09-19,"Gulf Host",3
"24","3302023365",2017-09-20,"Gulf Host",4
"25","3302023372",2017-09-20,"Yummex",4
"26","3302023377",2017-09-18,"Yummex",2
"27","3302023377",2017-09-20,"Yummex",4
"28","3302023378",2017-09-18,"The Specialty Food Festival",2
"29","3302023378",2017-09-20,"Yummex",4
"30","3302023379",2017-09-18,"The Specialty Food Festival",2
"31","3302023379",2017-09-20,"Yummex",4
"32","3302023386",2017-09-18,"Yummex",2
"33","3302023386",2017-09-19,"Gulf Host",3
"34","3302023391",2017-09-18,"Yummex-Gulf Host",2
"35","3302023391",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"36","3302023392",2017-09-18,"Yummex",2
"37","3302023397",2017-09-18,"Gulf Host",2
"38","3302023397",2017-09-19,"Gulf Host",3
"39","3302023397",2017-09-20,"Gulf Host",4
"40","3302023399",2017-09-20,"Yummex",4
"41","3302023405",2017-09-19,"Yummex",3
"42","3302023406",2017-09-19,"Yummex",3
"43","3302023408",2017-09-19,"Crossover into Hotel / Leisure",3
"44","3302023410",2017-09-20,"Yummex",4
"45","3302023412",2017-09-19,"Gulf Host",3
"46","3302023413",2017-09-20,"Yummex",4
"47","3302023416",2017-09-19,"Crossover into Hotel / Leisure",3
"48","3302023417",2017-09-19,"Gulf Host",3
"49","3302023421",2017-09-20,"Yummex",4
"50","3302023424",2017-09-19,"Crossover into Hotel / Leisure",3
"51","3302023426",2017-09-19,"Crossover into Hotel / Leisure-The Specialty Food Festival",3
"52","3302023432",2017-09-19,"Crossover into Hotel / Leisure",3
"53","3302023434",2017-09-18,"Yummex",2
"54","3302023434",2017-09-19,"Yummex-Gulf Host-Crossover into Hotel / Leisure",3
"55","3302023434",2017-09-20,"Gulf Host-Yummex",4
"56","3302023435",2017-09-18,"Yummex",2
"57","3302023437",2017-09-18,"Gulf Host",2
"58","3302023437",2017-09-19,"Gulf Host",3
"59","3302023437",2017-09-20,"Gulf Host",4
"60","3302023438",2017-09-20,"Yummex",4
"61","3302023439",2017-09-19,"Gulf Host",3
"62","3302023439",2017-09-20,"Yummex",4
"63","3302023443",2017-09-20,"Gulf Host",4
"64","3302023444",2017-09-19,"Yummex",3
"65","3302023445",2017-09-20,"Gulf Host-Yummex",4
"66","3302023447",2017-09-18,"Gulf Host",2
"67","3302023449",2017-09-18,"Gulf Host",2
"68","3302023449",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"69","3302023464",2017-09-19,"Crossover into Hotel / Leisure-Gulf Host",3
"70","3302023464",2017-09-20,"Gulf Host",4
"71","3302023465",2017-09-18,"Yummex",2
"72","3302023465",2017-09-20,"Gulf Host-Yummex",4
"73","3302023467",2017-09-19,"Crossover into Hotel / Leisure",3
"74","3302023467",2017-09-20,"Gulf Host",4
"75","3302023468",2017-09-18,"Yummex",2
"76","3302023468",2017-09-20,"Yummex",4
"77","3302023470",2017-09-18,"Yummex",2
"78","3302023471",2017-09-19,"Crossover into Hotel / Leisure",3
"79","3302023471",2017-09-20,"Yummex",4
"80","3302023472",2017-09-19,"Crossover into Hotel / Leisure",3
"81","3302023473",2017-09-19,"Crossover into Hotel / Leisure",3
"82","3302023474",2017-09-19,"The Specialty Food Festival",3
"83","3302023474",2017-09-20,"Yummex",4
"84","3302023475",2017-09-19,"The Specialty Food Festival",3
"85","3302023475",2017-09-20,"Yummex",4
"86","3302023476",2017-09-19,"Yummex",3
"87","3302023479",2017-09-19,"The Specialty Food Festival-Yummex",3
"88","3302023479",2017-09-20,"Yummex",4
"89","3302023480",2017-09-19,"Crossover into Hotel / Leisure",3
"90","3302023481",2017-09-20,"Gulf Host",4
"91","3302023483",2017-09-18,"Yummex",2
"92","3302023483",2017-09-19,"Yummex-Crossover into Hotel / Leisure",3
"93","3302023483",2017-09-20,"Yummex",4
"94","3302023484",2017-09-18,"Yummex",2
"95","3302023484",2017-09-19,"Yummex",3
"96","3302023484",2017-09-20,"Yummex",4
"97","3302023487",2017-09-19,"Crossover into Hotel / Leisure",3
"98","3302023487",2017-09-20,"Yummex",4
"99","3302023488",2017-09-18,"Yummex",2
"100","3302023488",2017-09-19,"Yummex",3
"101","3302023488",2017-09-20,"Yummex",4
"102","3302023489",2017-09-19,"Crossover into Hotel / Leisure",3
"103","3302023491",2017-09-20,"Yummex-Gulf Host",4
"104","3302023492",2017-09-19,"Crossover into Hotel / Leisure",3
"105","3302023493",2017-09-18,"Gulf Host",2
"106","3302023493",2017-09-19,"Gulf Host",3
"107","3302023493",2017-09-20,"Gulf Host",4
"108","3302023494",2017-09-18,"Gulf Host",2
"109","3302023495",2017-09-18,"Yummex",2
"110","3302023496",2017-09-18,"Gulf Host",2
"111","3302023497",2017-09-18,"Yummex",2
