,Estimate,Std. Error,z value,Pr(>|z|)
Region.2africa,-0.122457145,0.054328483,-2.254013688,0.024195307
Region.2americas,0.482757936,0.093317172,5.173302262,2.30E-07
Region.2australiaasia,0.374062694,0.040352855,9.269795077,1.87E-20
Region.2europe,0.814171193,0.044714222,18.2083275,4.43E-74
Region.2megcc,-0.133972196,0.034477705,-3.885763103,0.000102009
Region.2menongcc,0.523391717,0.050688602,10.32562933,5.40E-25
daysToShow,-0.014553588,0.000426602,-34.11516181,4.40E-255
distlookinginternationalyes,0.120664551,0.025675801,4.699543794,2.61E-06
distributor,-0.390313202,0.034515204,-11.30844243,1.19E-29
dummy0to10noemploy251plus,-0.185075541,0.046288762,-3.998282357,6.38E-05
dummy0to10noemploy51to250,-0.068066096,0.041312196,-1.647602957,0.099434173
dummy15to24age2534,0.577707432,0.029545648,19.55304661,3.89E-85
dummy15to24age3544,0.681817745,0.029630355,23.01078551,3.64E-117
dummy15to24age4554,0.657116615,0.031448802,20.89480622,5.97E-97
dummy15to24age5564,0.713224684,0.037379329,19.08072458,3.65E-81
dummy15to24age65,0.562661305,0.062194764,9.04676323,1.47E-19
dummy50kbudgetnone,0.135804919,0.06874238,1.975563245,0.048204265
dummy50kbudgetupto100000,0.118095421,0.058384694,2.022711985,0.04310285
dummy50kbudgetupto1000000,0.177087884,0.049831754,3.553715679,0.00037983
dummy50kbudgetupto10000000,0.277884991,0.062083735,4.475970871,7.61E-06
dummy50kbudgetupto250000,0.092429888,0.053302943,1.734048486,0.082909481
dummy50kbudgetupto500000,0.153347094,0.062503606,2.453411961,0.014150817
dummy50kbudgetupto5000000,0.200252551,0.068581682,2.919913086,0.00350129
dummyagentdistributorsuppliernobarchitecturalfirm,-0.331297906,0.04830604,-6.858312212,6.97E-12
dummyagentdistributorsuppliernobbuildingconsultancy,-0.206933319,0.044399362,-4.660727359,3.15E-06
dummyagentdistributorsuppliernobcementsupplier,-0.338363411,0.1499921,-2.255874875,0.024078468
dummyagentdistributorsuppliernobcontractor,-0.332084617,0.032384449,-10.25444711,1.13E-24
dummyagentdistributorsuppliernobeducationtraining,-0.23497651,0.089367195,-2.629337407,0.008555143
dummyagentdistributorsuppliernobengineering,-0.266287544,0.032518313,-8.188848748,2.64E-16
dummyagentdistributorsuppliernobfacilitiesmanagement,-0.342803847,0.075962759,-4.512788271,6.40E-06
dummyagentdistributorsuppliernobgovernmentmunicipality,-0.17970243,0.08110269,-2.215739444,0.026709352
dummyagentdistributorsuppliernobinteriordesignagencyother,-0.30949766,0.051849964,-5.96910075,2.39E-09
dummyagentdistributorsuppliernobitsoftware,-0.495517335,0.081571736,-6.074620453,1.24E-09
dummyagentdistributorsuppliernoblandscaping,-0.53352046,0.116349091,-4.585514635,4.53E-06
dummyagentdistributorsuppliernobmanufacturer,0.10639422,0.029975442,3.549379561,0.00038614
dummyagentdistributorsuppliernobmepcontractor,-0.391808743,0.061043076,-6.418561627,1.38E-10
dummyagentdistributorsuppliernobothers,-0.197476169,0.037423984,-5.276727514,1.32E-07
dummyagentdistributorsuppliernobpropertydeveloper,-0.348211186,0.064289572,-5.416293385,6.08E-08
dummyagentdistributorsuppliernobsubcontractor,-0.221520619,0.064465002,-3.43629273,0.000589733
dummyagentdistributorsuppliernobsurveying,-0.416051128,0.161110315,-2.582399071,0.009811606
dummyagentdistributorsuppliernobwasterecycling,-0.703869055,0.206413328,-3.409998092,0.000649633
dummyfmexposaudiinterestedtoafricarenewableenergysummit45april2017,-0.435132385,0.196333051,-2.216297169,0.026671157
dummyfmexposaudiinterestedtofmexpodubai2527september2017,-0.113786665,0.037025166,-3.07322499,0.002117588
dummyfmexposaudiinterestedtointersolarmiddleeastdubai2527september2017,0.091477995,0.040018489,2.285893256,0.022260504
dummyfmexposaudiinterestedtomiddleeastwasterecyclingdubai2527september2017,-0.124136276,0.037803161,-3.283753862,0.001024343
dummyfmexposaudiinterestedtothebig5dubai2124november2016,0.245028569,0.08977805,2.729270335,0.006347465
dummyfmexposaudiinterestedtothebig5dubai2629november2017,0.142557973,0.033271363,4.284704961,1.83E-05
dummyfmexposaudiinterestedtothebig5northafricacasablanca2527april2017,0.072034377,0.040940996,1.759468133,0.078498028
dummyfmexposaudiinterestedtowindowsdoorsfacadesdubai2527september2017,0.100052019,0.037170952,2.691672204,0.007109478
dummyinvitorrecommendcolleaguerecommednregisteredinvitee,0.435432108,0.066206361,6.57689234,4.80E-11
dummymecshowregisteredbig5showregisteredbig5,0.192745439,0.032065293,6.011029966,1.84E-09
dummynotpaidpaymentstatuspaymentstatusfoc,0.807321029,0.105683929,7.639014139,2.19E-14
dummyotherbig5productslookingforbuildingenvelopespecialconstruction,0.106768681,0.044472718,2.40076805,0.016360703
dummyotherbig5productslookingforbuildinginteriorsfinishes,0.141840048,0.036353181,3.901723182,9.55E-05
dummyotherbig5productslookingforconstructiontoolsbuildingmaterials,0.164185768,0.045328463,3.622134029,0.000292183
dummyotherbig5productslookingfordesigntechnologies,-0.084050166,0.037608172,-2.234891042,0.025424503
dummyotherbig5productslookingforelectricalsystems,-0.157577395,0.036866212,-4.274303937,1.92E-05
dummyotherbig5productslookingforheatingventilationairconditioning,0.117321443,0.034571321,3.393606,0.000689789
dummyotherbig5productslookingforlighting,-0.149682964,0.031419103,-4.764075006,1.90E-06
dummyotherbig5productslookingformepservices,0.071127813,0.035213774,2.019886093,0.043395204
dummyotherbig5productslookingforplumbingwatertechnology,0.125677959,0.035051897,3.585482428,0.000336456
dummyotherbig5productslookingforsecurityfireprotection,-0.079970341,0.0375759,-2.128234911,0.033317612
dummyotherbig5productslookingforsoftwareforconstruction,-0.141065857,0.03372309,-4.183064391,2.88E-05
dummyothermecproductslookingforearthmovingequipment,0.330108281,0.171075076,1.929610611,0.053655103
dummyothermecproductslookingforpumpingequipmentaccessories,-0.30426968,0.154205591,-1.973142988,0.048479274
dummyothermecproductslookingforsiteclearingdemolitionrelocation,-0.339678379,0.195720317,-1.735529476,0.082647065
dummyuaeimporttoqatar,-0.079849906,0.046270446,-1.725721557,0.084397518
employedemployed,-0.346402609,0.023457081,-14.76750728,2.37E-49
interestothereventyes,-0.118654655,0.034501102,-3.43915548,0.000583532
manufacturer,-0.553277513,0.037398749,-14.79401135,1.60E-49
purchaseauthorityyes,0.124241026,0.043651155,2.846225367,0.004424087
studentstudent,0.324969918,0.070154303,4.63221647,3.62E-06
