Questions,Code,Decode,usage
Age Group,1524,dummyvar,Demographic
Age Group,2534,dummy15to24Age25-34,Demographic
Short Form Code,MECS,Middle East Concrete and PMV Live Short Form Page,Not Used
Short Form Code,BIGS,Big 5 Short Form Page,Not Used
Database Management,UPG,Record Upgraded,Not Used
Database Management,EXHINVBIG,Invited by Exhibitor,Not Used
Database Management,GAIA,Voted for GAIA Awards,Not Used
Database Management,DUBAI02,Back Office,Not Used
Database Management,VASILEIOS,Back Office,Not Used
Database Management,DUBAI03,Back Office,Not Used
Database Management,DUBAI09,Back Office,Not Used
Database Management,DUBAI10,Back Office,Not Used
Database Management,BLANK,Blank Barcode,Not Used
Database Management,AWS,Online Server,Not Used
Database Management,SVR18,Back Office,Not Used
Database Management,SCAN,Scanned at Ebadge,Not Used
Database Management,SAMPLE,Sample Record,Not Used
Database Management,DNI,Denied Print of Record,Not Used
Database Management,UPDATEPC,Print DTCM Barcode on PC Badge,Not Used
Database Management,INTONS,Internet Registration during show,Not Used
Database Management,MRFGR,Missed our records from gate attendance of Excellence Summit,Not Used
Database Management,P16BIG,Pre-registered 2016 for Big 5,Not Used
Database Management,P16MEC,Pre-registered 2016 for MEC and PMV Live,Not Used
Database Management,INT,Internet Registration,Not Used
Database Management,TEST,Test Registrations,Not Used
Database Management,PNTD,Record Pre Printed,Not Used
Database Management,ORQ,Organizer Request,Not Used
Database Management,XXX,Registration Staff,Not Used
Database Management,CLEAN,Record Clean,Not Used
Database Management,TBP,To Be Printed,Not Used
Database Management,DEMO-ROOM,DEMO Room,Not Used
Database Management,SYED-HP,Syed HP,Not Used
Age Group,3544,dummy15to24Age35-44,Demographic
Age Group,4554,dummy15to24Age45-54,Demographic
Age Group,5564,dummy15to24Age55-64,Demographic
Age Group,6500,dummy15to24Age65,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF81,purchaseAuthority.Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF82,dummyvar,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP81,purchaseAuthority.Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP82,dummyvar,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF71,distLookingInternational.Yes,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF72,dummyvar,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF171,Manufacturer,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF172,Distributor,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF173,dummyvar,Demographic
Are you interested in finding out more information about exhibiting?  - MEC,MP131,moreInfoExhibit.Yes,Demographic
Are you interested in finding out more information about exhibiting?  - MEC,MP132,dummyvar,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF131,moreInfoExhibit.Yes,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF132,dummyvar,Demographic
Are you interested in other construction events? - Big5,BF141,interestOtherEvent.Yes,Demographic
DTCM Codes,DTCM,Date Transacted to DTCM,Not Used
DTCM Codes,DTCM-NOT,Transacted to DTCM but rejected,Not Used
DTCM Codes,ORDERID,DTCM Order ID,Not Used
DTCM Codes,DTCMS,DTCM Successful,Not Used
DTCM Codes,DTCMN,DTCM Not Successful,Not Used
DTCM Codes,NOSHOW,No Show record - DTCM Recall,Not Used
DTCM Codes,ORDERID2,DTCM Second Order id,Not Used
DTCM Codes,DRETURN,Record Returned,Not Used
DTCM Codes,JAY,"Records to be re-called, transacted to DTCM",Not Used
DTCM Codes,UPDORD,Updated Ordeid,Not Used
Are you interested in other construction events? - Big5,BF142,dummyvar,Demographic
Are you interested in other construction events? - MEC,MP141,interestOtherEvent.Yes,Demographic
Are you interested in other construction events? - MEC,MP142,dummyvar,Demographic
Are you interested in other construction events? - Yes -  Big5,BF151,dummyvar,Demographic
Email Broadcast,EMAIL1,Barcode Email,Not Used
Email Broadcast,ESAMPLE,Sample Eshot,Not Used
Email Broadcast,EMAIL2,Email Blast for Distributors,Not Used
Attendees,ATTD1,Attended On Day 1,Not Used
Attendees,ATTD2,Attended On Day 2,Not Used
Attendees,ATTD3,Attended On Day 3,Not Used
Attendees,ATTD4,Attended on Day 4,Not Used
Are you interested in other construction events? - Yes -  Big5,BF167,dummyFMExpoSaudi.interested.to.The Big 5 Kuwait (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF168,dummyFMExpoSaudi.interested.to.The Big 5 East Africa Kenya (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF169,dummyFMExpoSaudi.interested.to.The Big 5 Indonesia (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF170,dummyFMExpoSaudi.interested.to.The Big 5 India (Onsite Forms),Demographic
Are you interested in other construction events? - Yes -  Big5,BF174,dummyFMExpoSaudi.interested.to.None of the above (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF152,dummyFMExpoSaudi.interested.to.HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF153,dummyFMExpoSaudi.interested.to.The Big 5 Saudi (Jeddah) | 27 - 30 March 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF154,"dummyFMExpoSaudi.interested.to.Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017",Demographic
Are you interested in other construction events? - Yes -  Big5,BF155,dummyFMExpoSaudi.interested.to.The Big 5 North Africa (Casablanca) | 25 - 27 April 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF156,dummyFMExpoSaudi.interested.to.Middle East Covering (Dubai) | 22 - 25 May 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF157,dummyFMExpoSaudi.interested.to.Middle East Stone (Dubai) |  22 - 25 May 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF158,dummyFMExpoSaudi.interested.to.Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF159,dummyFMExpoSaudi.interested.to.Elevators & Access Control (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF160,dummyFMExpoSaudi.interested.to.FM EXPO (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF161,dummyFMExpoSaudi.interested.to.Gulf Glass (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF162,dummyFMExpoSaudi.interested.to.Intersolar Middle East (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF163,dummyFMExpoSaudi.interested.to.Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF164,dummyFMExpoSaudi.interested.to.Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF165,"dummyFMExpoSaudi.interested.to.Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",Demographic
Are you interested in other construction events? - Yes -  Big5,BF166,dummyFMExpoSaudi.interested.to.The Big 5 (Dubai) | 26 - 29 November 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP176,dummyFMExpoSaudi.interested.to.The Big 5 Kuwait (Onsite form),Demographic
Are you interested in other construction events? - Yes - MEC,MP177,dummyFMExpoSaudi.interested.to.The Big 5 East Africa Kenya (Onsite form),Demographic
Are you interested in other construction events? - Yes - MEC,MP169,dummyFMExpoSaudi.interested.to.The Big 5 Indonesia (Onsite Form),Demographic
Are you interested in other construction events? - Yes - MEC,MP170,dummyFMExpoSaudi.interested.to.The Big 5 India (Onsite Form),Demographic
Are you interested in other construction events? - Yes - MEC,MP175,dummyFMExpoSaudi.interested.to.Middle East Coating Show (onsite form),Demographic
Are you interested in other construction events? - Yes - MEC,MP167,dummyFMExpoSaudi.interested.to.The Big 5 (Dubai) | 21-24 November 2016,Demographic
Are you interested in other construction events? - Yes - MEC,MP151,dummyvar,Demographic
Are you interested in other construction events? - Yes - MEC,MP152,dummyFMExpoSaudi.interested.to.HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP153,dummyFMExpoSaudi.interested.to.The Big 5 Saudi (Jeddah) | 27-30 March 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP168,dummyFMExpoSaudi.interested.to.Africa Renewable Energy Summit | 4 – 5 April 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP154,"dummyFMExpoSaudi.interested.to.Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017 ",Demographic
Are you interested in other construction events? - Yes - MEC,MP155,dummyFMExpoSaudi.interested.to.The Big 5 North Africa (Casablanca) | 25- 27 April 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP166,dummyFMExpoSaudi.interested.to.The Big 5 (Dubai) | 26-29 November 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP156,dummyFMExpoSaudi.interested.to.Middle East Covering (Dubai)| 22-25 May 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP157,dummyFMExpoSaudi.interested.to.Middle East Stone (Dubai) | 22-25 May 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP158,dummyFMExpoSaudi.interested.to.Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP159,dummyFMExpoSaudi.interested.to.Elevators & Access Control (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP160,dummyFMExpoSaudi.interested.to.FM EXPO (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP161,dummyFMExpoSaudi.interested.to.Gulf Glass (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP162,dummyFMExpoSaudi.interested.to.Intersolar Middle East (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP163,dummyFMExpoSaudi.interested.to.Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP164,dummyFMExpoSaudi.interested.to.Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP165,"dummyFMExpoSaudi.interested.to.Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",Demographic
Category,VIP,dummyvar,Demographic
Category,GVIP,dummyvar,Demographic
Category,GVIS,dummyvar,Demographic
Category,GUEST,dummyvar,Demographic
Category,VIS,dummyvar,Demographic
Category,DEL,dummyvar,Demographic
Category,SPK,dummyvar,Demographic
Category,MED,dummyvar,Demographic
Category,EXH,dummyvar,Demographic
Category,EXHONS,dummyvar,Demographic
Category,ORG,dummyvar,Demographic
Category,STU,dummyvar,Demographic
Category,NTRAD,dummyvar,Demographic
Category,XXX,dummyvar,Demographic
Category,PC,dummyvar,Demographic
Countries you import to? - Big5,BF71A,dummyvar,Demographic
Countries you import to? - Big5,BF71B,dummyUAE.import.toKSA,Demographic
Countries you import to? - Big5,BF71C,dummyUAE.import.toKuwait,Demographic
Countries you import to? - Big5,BF71D,dummyUAE.import.toOman,Demographic
Countries you import to? - Big5,BF71E,dummyUAE.import.toBahrain,Demographic
Countries you import to? - Big5,BF71F,dummyUAE.import.toQatar,Demographic
Direct level of purchasing authority - Big5,BF91,dummyvar,Demographic
Direct level of purchasing authority - Big5,BF92,"dummy50K.budget.Up to $100,000",Demographic
Direct level of purchasing authority - Big5,BF93,"dummy50K.budget.Up to $250,000",Demographic
Direct level of purchasing authority - Big5,BF94,"dummy50K.budget.Up to $500,000",Demographic
Direct level of purchasing authority - Big5,BF95,"dummy50K.budget.Up to $1,000,000",Demographic
Direct level of purchasing authority - Big5,BF96,"dummy50K.budget.Up to $5,000,000",Demographic
Direct level of purchasing authority - Big5,BF97,"dummy50K.budget.Up to $10,000,000",Demographic
Direct level of purchasing authority - Big5,BF98,dummy50K.budget.Up to $25 million,Demographic
Direct level of purchasing authority - Big5,BF99,dummy50K.budget.Up to $50 million,Demographic
Direct level of purchasing authority - Big5,BF100,dummy50K.budget.Up to $100 million,Demographic
Direct level of purchasing authority - Big5,BF101,dummy50K.budget.100 million +,Demographic
Direct level of purchasing authority - Big5,BF102,dummy50K.budget.Don't Know,Demographic
