Questions,Code,Decode,,Decode,usage
Age Group,1524,dummyvar,,dummyvar,Demographic
Age Group,2534,Age25-34,dummy15to24,Age25-34dummy15to24,Demographic
Short Form Code,MECS,Middle East Concrete and PMV Live Short Form Page,,Middle East Concrete and PMV Live Short Form Page,Not Used
Short Form Code,BIGS,Big 5 Short Form Page,,Big 5 Short Form Page,Not Used
Database Management,UPG,Record Upgraded,,Record Upgraded,Not Used
Database Management,EXHINVBIG,Invited by Exhibitor,,Invited by Exhibitor,Not Used
Database Management,GAIA,Voted for GAIA Awards,,Voted for GAIA Awards,Not Used
Database Management,DUBAI02,Back Office,,Back Office,Not Used
Database Management,VASILEIOS,Back Office,,Back Office,Not Used
Database Management,DUBAI03,Back Office,,Back Office,Not Used
Database Management,DUBAI09,Back Office,,Back Office,Not Used
Database Management,DUBAI10,Back Office,,Back Office,Not Used
Database Management,BLANK,Blank Barcode,,Blank Barcode,Not Used
Database Management,AWS,Online Server,,Online Server,Not Used
Database Management,SVR18,Back Office,,Back Office,Not Used
Database Management,SCAN,Scanned at Ebadge,,Scanned at Ebadge,Not Used
Database Management,SAMPLE,Sample Record,,Sample Record,Not Used
Database Management,DNI,Denied Print of Record,,Denied Print of Record,Not Used
Database Management,UPDATEPC,Print DTCM Barcode on PC Badge,,Print DTCM Barcode on PC Badge,Not Used
Database Management,INTONS,Internet Registration during show,,Internet Registration during show,Not Used
Database Management,MRFGR,Missed our records from gate attendance of Excellence Summit,,Missed our records from gate attendance of Excellence Summit,Not Used
Database Management,P16BIG,Pre-registered 2016 for Big 5,,Pre-registered 2016 for Big 5,Not Used
Database Management,P16MEC,Pre-registered 2016 for MEC and PMV Live,,Pre-registered 2016 for MEC and PMV Live,Not Used
Database Management,INT,Internet Registration,,Internet Registration,Not Used
Database Management,TEST,Test Registrations,,Test Registrations,Not Used
Database Management,PNTD,Record Pre Printed,,Record Pre Printed,Not Used
Database Management,ORQ,Organizer Request,,Organizer Request,Not Used
Database Management,XXX,Registration Staff,,Registration Staff,Not Used
Database Management,CLEAN,Record Clean,,Record Clean,Not Used
Database Management,TBP,To Be Printed,,To Be Printed,Not Used
Database Management,DEMO-ROOM,DEMO Room,,DEMO Room,Not Used
Database Management,SYED-HP,Syed HP,,Syed HP,Not Used
Age Group,3544,Age35-44,dummy15to24,Age35-44dummy15to24,Demographic
Age Group,4554,Age45-54,dummy15to24,Age45-54dummy15to24,Demographic
Age Group,5564,Age55-64,dummy15to24,Age55-64dummy15to24,Demographic
Age Group,6500,Age65,dummy15to24,Age65dummy15to24,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF81,purchaseAuthority.Yes,purchaseAuthority.Yes,purchaseAuthority.YespurchaseAuthority.Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF82,dummyvar,,dummyvar,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP81,purchaseAuthority.Yes,purchaseAuthority.Yes,purchaseAuthority.YespurchaseAuthority.Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP82,dummyvar,,dummyvar,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF71,distLookingInternational.Yes,distLookingInternational.Yes,distLookingInternational.YesdistLookingInternational.Yes,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF72,dummyvar,,dummyvar,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF171,Manufacturer,Manufacturer,ManufacturerManufacturer,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF172,Distributor,Distributor,DistributorDistributor,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF173,dummyvar,,dummyvar,Demographic
