Questions,Code,Decode,usage
Age Group,1524,15-24,Demographic
Age Group,2534,25-34,Demographic
Short Form Code,MECS,Middle East Concrete and PMV Live Short Form Page,Not Used
Short Form Code,BIGS,Big 5 Short Form Page,Not Used
Database Management,UPG,Record Upgraded,Not Used
Database Management,EXHINVBIG,Invited by Exhibitor,Not Used
Database Management,GAIA,Voted for GAIA Awards,Not Used
Database Management,DUBAI02,Back Office,Not Used
Database Management,VASILEIOS,Back Office,Not Used
Database Management,DUBAI03,Back Office,Not Used
Database Management,DUBAI09,Back Office,Not Used
Database Management,DUBAI10,Back Office,Not Used
Database Management,BLANK,Blank Barcode,Not Used
Database Management,AWS,Online Server,Not Used
Database Management,SVR18,Back Office,Not Used
Database Management,SCAN,Scanned at Ebadge,Not Used
Database Management,SAMPLE,Sample Record,Not Used
Database Management,DNI,Denied Print of Record,Not Used
Database Management,UPDATEPC,Print DTCM Barcode on PC Badge,Not Used
Database Management,INTONS,Internet Registration during show,Not Used
Database Management,MRFGR,Missed our records from gate attendance of Excellence Summit,Not Used
Database Management,P16BIG,Pre-registered 2016 for Big 5,Not Used
Database Management,P16MEC,Pre-registered 2016 for MEC and PMV Live,Not Used
Database Management,INT,Internet Registration,Not Used
Database Management,TEST,Test Registrations,Not Used
Database Management,PNTD,Record Pre Printed,Not Used
Database Management,ORQ,Organizer Request,Not Used
Database Management,XXX,Registration Staff,Not Used
Database Management,CLEAN,Record Clean,Not Used
Database Management,TBP,To Be Printed,Not Used
Database Management,DEMO-ROOM,DEMO Room,Not Used
Database Management,SYED-HP,Syed HP,Not Used
Age Group,3544,35-44,Demographic
Age Group,4554,45-54,Demographic
Age Group,5564,55-64,Demographic
Age Group,6500,65+,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF81,Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - Big5,BF82,No,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP81,Yes,Demographic
Are you a key buyer with direct purchasing authority for your company? - MEC,MP82,No,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF71,Yes,Demographic
"Are you a local distributor looking to meet with international exhibitors? - Big5
",BF72,No,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF171,Manufacturer,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF172,Distributor,Demographic
Are you a manufacturer or distributor? - Big5 Short Form,BF173,Other,Demographic
Are you interested in finding out more information about exhibiting?  - MEC,MP131,Yes,Demographic
Are you interested in finding out more information about exhibiting?  - MEC,MP132,No,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF131,Yes,Demographic
Are you interested in finding out more information about exhibiting? - Big5,BF132,No,Demographic
Are you interested in other construction events? - Big5,BF141,Yes,Demographic
DTCM Codes,DTCM,Date Transacted to DTCM,Not Used
DTCM Codes,DTCM-NOT,Transacted to DTCM but rejected,Not Used
DTCM Codes,ORDERID,DTCM Order ID,Not Used
DTCM Codes,DTCMS,DTCM Successful,Not Used
DTCM Codes,DTCMN,DTCM Not Successful,Not Used
DTCM Codes,NOSHOW,No Show record - DTCM Recall,Not Used
DTCM Codes,ORDERID2,DTCM Second Order id,Not Used
DTCM Codes,DRETURN,Record Returned,Not Used
DTCM Codes,JAY,"Records to be re-called, transacted to DTCM",Not Used
DTCM Codes,UPDORD,Updated Ordeid,Not Used
Are you interested in other construction events? - Big5,BF142,No,Demographic
Are you interested in other construction events? - MEC,MP141,Yes,Demographic
Are you interested in other construction events? - MEC,MP142,No,Demographic
Are you interested in other construction events? - Yes -  Big5,BF151,FM Expo Saudi (Jeddah) | 15 – 17 January 2017,Demographic
Email Broadcast,EMAIL1,Barcode Email,Not Used
Email Broadcast,ESAMPLE,Sample Eshot,Not Used
Email Broadcast,EMAIL2,Email Blast for Distributors,Not Used
Attendees,ATTD1,Attended On Day 1,Not Used
Attendees,ATTD2,Attended On Day 2,Not Used
Attendees,ATTD3,Attended On Day 3,Not Used
Attendees,ATTD4,Attended on Day 4,Not Used
Are you interested in other construction events? - Yes -  Big5,BF167,The Big 5 Kuwait (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF168,The Big 5 East Africa Kenya (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF169,The Big 5 Indonesia (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF170,The Big 5 India (Onsite Forms),Demographic
Are you interested in other construction events? - Yes -  Big5,BF174,None of the above (Onsite Form),Demographic
Are you interested in other construction events? - Yes -  Big5,BF152,HVACR Expo Saudi (Jeddah) | 15 - 17 January 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF153,The Big 5 Saudi (Jeddah) | 27 - 30 March 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF154,"Stone & Surface Saudi Expo (Jeddah) | 4 - 6 April, 2017",Demographic
Are you interested in other construction events? - Yes -  Big5,BF155,The Big 5 North Africa (Casablanca) | 25 - 27 April 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF156,Middle East Covering (Dubai) | 22 - 25 May 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF157,Middle East Stone (Dubai) |  22 - 25 May 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF158,Commercial Cleaning & Hygiene (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF159,Elevators & Access Control (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF160,FM EXPO (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF161,Gulf Glass (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF162,Intersolar Middle East (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF163,Middle East Waste & Recycling (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF164,Outdoor Design & Build Show (Dubai) | 25 - 27 September 2017,Demographic
Are you interested in other construction events? - Yes -  Big5,BF165,"Windows, Doors & Facades (Dubai) | 25 - 27 September 2017",Demographic
Are you interested in other construction events? - Yes -  Big5,BF166,The Big 5 (Dubai) | 26 - 29 November 2017,Demographic
Are you interested in other construction events? - Yes - MEC,MP176,The Big 5 Kuwait (Onsite form),Demographic
Are you interested in other construction events? - Yes - MEC,MP177,The Big 5 East Africa Kenya (Onsite form),Demographic
Are you interested in other construction events? - Yes - MEC,MP169,The Big 5 Indonesia (Onsite Form),Demographic
Are you interested in other construction events? - Yes - MEC,MP170,The Big 5 India (Onsite Form),Demographic
Are you interested in other construction events? - Yes - MEC,MP175,Middle East Coating Show (onsite form),Demographic
