Category Text,Code,Question Text
Show Registered For,BIG,Big 5
Show Registered For,MEC,Middle East Concrete and PMV Live
Short Form Code,MECS,Middle East Concrete and PMV Live Short Form Page
Short Form Code,BIGS,Big 5 Short Form Page
Database Management,UPG,Record Upgraded
Database Management,EXHINVBIG,Invited by Exhibitor
Database Management,GAIA,Voted for GAIA Awards
Database Management,DUBAI02,Back Office
Database Management,VASILEIOS,Back Office
Database Management,DUBAI03,Back Office
Database Management,DUBAI09,Back Office
Database Management,DUBAI10,Back Office
Database Management,BLANK,Blank Barcode
Database Management,AWS,Online Server
Database Management,SVR18,Back Office
Database Management,SCAN,Scanned at Ebadge
Database Management,SAMPLE,Sample Record
Database Management,DNI,Denied Print of Record
Database Management,UPDATEPC,Print DTCM Barcode on PC Badge
Database Management,INTONS,Internet Registration during show
Database Management,MRFGR,Missed our records from gate attendance of Excellence Summit
Database Management,P16BIG,Pre-registered 2016 for Big 5
Database Management,P16MEC,Pre-registered 2016 for MEC and PMV Live
Database Management,INT,Internet Registration
Database Management,TEST,Test Registrations
Database Management,PNTD,Record Pre Printed
Database Management,ORQ,Organizer Request
Database Management,XXX,Registration Staff
Database Management,CLEAN,Record Clean
Database Management,TBP,To Be Printed
Database Management,DEMO-ROOM,DEMO Room
Database Management,SYED-HP,Syed HP
Category,VIP,VIP
Category,GVIP,Generic VIP
Category,GVIS,Generic Visitor
Category,GUEST,Guest
Category,VIS,Visitor
Category,DEL,Delegate
Category,SPK,Speaker
Category,MED,Media
Category,EXH,Exhibitor
Category,EXHONS,Exhibitor Onsite (paid)
Category,ORG,Organiser
Category,STU,Student
Category,NTRAD,Non Trade
Category,XXX,Registration
Category,PC,Platinum Club
Workshop and other Category,WKS,Workshop for Big 5
Workshop and other Category,MWKS,Workshop for MEC and PMV Live
Workshop and other Category,HTDB,How to do Business in UAE
DTCM Codes,DTCM,Date Transacted to DTCM
DTCM Codes,DTCM-NOT,Transacted to DTCM but rejected
DTCM Codes,ORDERID,DTCM Order ID
DTCM Codes,DTCMS,DTCM Successful
DTCM Codes,DTCMN,DTCM Not Successful
DTCM Codes,NOSHOW,No Show record - DTCM Recall
DTCM Codes,ORDERID2,DTCM Second Order id
DTCM Codes,DRETURN,Record Returned
DTCM Codes,JAY,"Records to be re-called, transacted to DTCM"
DTCM Codes,UPDORD,Updated Ordeid
Recommend a Colleague,INV,Invitor
Recommend a Colleague,INVE,Invitee
Recommend a Colleague,IFCN,Registered Invitee
Show Admission Policy/Terms of Condition,TNC,Please select to confirm you have read and agree to admission policy
Email Broadcast,EMAIL1,Barcode Email
Email Broadcast,ESAMPLE,Sample Eshot
Email Broadcast,EMAIL2,Email Blast for Distributors
Attendees,ATTD1,Attended On Day 1
Attendees,ATTD2,Attended On Day 2
Attendees,ATTD3,Attended On Day 3
Attendees,ATTD4,Attended on Day 4
Age Group,1524,15-24
Age Group,2534,25-34
Age Group,3544,35-44
Age Group,4554,45-54
Age Group,5564,55-64
Age Group,6500,65+
Nationality,AF,Afghan
Nationality,AL,Albanian
Nationality,DZ,Algerian
Nationality,US,American
Nationality,UM,American Islander
Nationality,AS,American Samoan
Nationality,AD,Andorran
Nationality,AO,Angolan
Nationality,AI,Anguillan
Nationality,AG,Antiguan / Barbudan
Nationality,AR,Argentinian
Nationality,AM,Armenian
Nationality,AW,Aruban
Nationality,AU,Australian
Nationality,AT,Austrian
Nationality,AZ,Azerbaijani
Nationality,BS,Bahamian
Nationality,BH,Bahraini
Nationality,BD,Bangladeshi
Nationality,BB,Barbadian
Nationality,BW,Botswana
Nationality,BY,Belarusian
Nationality,BE,Belgian
Nationality,BZ,Belizean
Nationality,BJ,Beninese
Nationality,BM,Bermudian
Nationality,BT,Bhutanese
Nationality,GW,Bissau-Guinean
Nationality,BO,Bolivian
Nationality,BA,Bosnian / Herzegovinian
Nationality,BR,Brazilian
Nationality,GB,British
Nationality,BN,Bruneian
Nationality,BG,Bulgarian
Nationality,BF,Burkinabe
Nationality,MM,Burmese
Nationality,BI,Burundian
Nationality,KH,Cambodian
Nationality,CM,Cameroonian
Nationality,CA,Canadian
Nationality,CV,Cape Verdean
Nationality,KY,Caymanian
Nationality,CF,Central African
Nationality,TD,Chadian
Nationality,GG,Channel Islander
Nationality,JE,Channel Islander
Nationality,CL,Chilean
Nationality,CN,Chinese
Nationality,CX,Christmas Islanders
Nationality,CO,Colombian
Nationality,KM,Comoran
Nationality,CG,Congolese
Nationality,CD,Congolese
Nationality,CK,Cook Islander
Nationality,CR,Costa Rican
Nationality,HR,Croatian
Nationality,CU,Cuban
Nationality,CY,Cypriot
Nationality,CZ,Czech
Nationality,DK,Danish
Nationality,DJ,Djiboutian
Nationality,DM,Dominican
Nationality,DO,Dominican
Nationality,NL,Dutch
Nationality,AN,Dutch Caribean
Nationality,EC,Ecuadorian
Nationality,EG,Egyptian
Nationality,AE,Emirati
Nationality,GQ,Equatoguinean / Equatorial Guinean
Nationality,ER,Eritrean
Nationality,EE,Estonian
Nationality,ET,Ethiopian
Nationality,FK,Falkland Islander
Nationality,FO,Faroese
Nationality,FJ,Fijian
Nationality,FI,Finnish
Nationality,FR,French
Nationality,TF,French
Nationality,MQ,French
Nationality,RE,French
Nationality,GF,French Guianese
Nationality,GA,Gabonese
Nationality,GM,Gambian
Nationality,GE,Georgian
Nationality,DE,German
Nationality,GH,Ghanaian
Nationality,GI,Gibraltar
Nationality,GR,Greek
Nationality,GL,Greenlandic
Nationality,GD,Grenadian
Nationality,GU,Guamanian
Nationality,GT,Guatemalan
Nationality,GN,Guinean
Nationality,GY,Guyanese
Nationality,HT,Haitian
Nationality,HN,Honduran
Nationality,HK,Hong Konger
Nationality,HU,Hungarian
Nationality,IS,Icelandic
Nationality,KI,I-Kiribati
Nationality,IN,Indian
Nationality,ID,Indonesian
Nationality,IR,Iranian
Nationality,IQ,Iraqi
Nationality,IE,Irish
Nationality,IT,Italian
Nationality,CI,Ivoirian
Nationality,JM,Jamaican
Nationality,JP,Japanese
Nationality,JO,Jordanian
Nationality,KZ,Kazakhstani
Nationality,KE,Kenyan
Nationality,KN,Kittitian / Nevisian
Nationality,XK,Kosovar
Nationality,KW,Kuwaiti
Nationality,KG,Kyrgyzstani
Nationality,LA,Laotian
Nationality,LV,Latvian
Nationality,LB,Lebanese
Nationality,LR,Liberian
Nationality,LY,Libyan
Nationality,LI,Liechtenstein
Nationality,LT,Lithuanian
Nationality,LU,Luxembourg
Nationality,MO,Macanese
Nationality,MK,Macedonian
Nationality,YT,Mahoran
Nationality,MG,Malagasy
Nationality,MW,Malawian
Nationality,MY,Malaysian
Nationality,MV,Maldivian
Nationality,ML,Malian
Nationality,MT,Maltese
Nationality,IM,Manx
Nationality,MH,Marshallese
Nationality,MR,Mauritanian
Nationality,MU,Mauritian
Nationality,MX,Mexican
Nationality,FM,Micronesian
Nationality,MD,Moldovan
Nationality,MC,Monacan
Nationality,MN,Mongolian
Nationality,ME,Montenegrin
Nationality,MS,Montserratian
Nationality,MA,Moroccan
Nationality,LS,Mosotho
Nationality,MZ,Mozambican
Nationality,NA,Namibian
Nationality,NR,Nauruan
Nationality,NP,Nepali
Nationality,NC,New Caledonian
Nationality,NZ,New Zealand
Nationality,NI,Nicaraguan
Nationality,NG,Nigerian
Nationality,NE,Nigerien
Nationality,NU,Niuean
Nationality,VU,Ni-Vanuatu
Nationality,KP,North Korean
Nationality,NO,Norwegian
Nationality,OM,Omani
Nationality,PK,Pakistani
Nationality,PW,Palauan
Nationality,PS,Palestinian
Nationality,PA,Panamanian
Nationality,PG,Papua New Guinean
Nationality,PY,Paraguayan
Nationality,PE,Peruvian
Nationality,PH,Philippine / Filipino
Nationality,PN,Pitcairn Islanders
Nationality,PL,Polish
Nationality,PT,Portuguese
Nationality,PR,Puerto Rican
Nationality,QA,Qatari
Nationality,RO,Romanian
Nationality,RU,Russian
Nationality,RW,Rwandan
Nationality,LC,Saint Lucian
Nationality,PM,Saint-Pierrais / Miquelonnais
Nationality,SV,Salvadoran
Nationality,SM,Sammarinese
Nationality,WS,Samoan
Nationality,ST,Sao Tomean
Nationality,SA,Saudi Arabian
Nationality,SN,Senegalese
Nationality,RS,Serbian
Nationality,SC,Seychellois
Nationality,SL,Sierra Leonean
Nationality,SG,Singaporean
Nationality,SK,Slovakian
Nationality,SI,Slovenian
Nationality,SB,Solomon Islander
Nationality,SO,Somali
Nationality,ZA,South African
Nationality,KR,South Korean
Nationality,SS,South Sudanese
Nationality,ES,Spanish
Nationality,LK,Sri Lankan
Nationality,SD,Sudanese
Nationality,SR,Surinamese
Nationality,SJ,Svalbard & Jan Mayen Islanders
Nationality,SZ,Swazi
Nationality,SE,Swedish
Nationality,CH,Swiss
Nationality,SY,Syrian
Nationality,TW,Taiwanese
Nationality,TJ,Tajikistani
Nationality,TZ,Tanzanian
Nationality,TH,Thai
Nationality,TL,Timorese
Nationality,TG,Togolese
Nationality,TK,Tokelauan
Nationality,TO,Tongan
Nationality,TT,Trinidadian / Tobagonian
Nationality,TN,Tunisian
Nationality,TR,Turkish
Nationality,TM,Turkmen
Nationality,TC,Turks and Caicos Islander
Nationality,TV,Tuvaluan
Nationality,VI,U.S. Virgin Islander
Nationality,UG,Ugandan
Nationality,UA,Ukrainian
Nationality,UY,Uruguayan
Nationality,UZ,Uzbekistani
Nationality,VE,Venezuelan
Nationality,VN,Vietnamese
Nationality,VC,Vincentian
Nationality,VB,Virgin Islander
Nationality,WF,Wallisian / Futunan
Nationality,YE,Yemeni
Nationality,ZM,Zambian
Nationality,ZW,Zimbabwean
Nationality,NAT,Nationality
What is your current employment status? - Big5,BFEMP,Employed
What is your current employment status? - Big5,BFUNE,Unemployed
What is your current employment status? - Big5,BFSTU,Student
