variable,0,1,MeanDecreaseAccuracy,MeanDecreaseGini,,variable.1
manufacturer,2.862237977,12.83800088,21.07445645,162.3189768,a,amanufacturera
daysToShow,11.3187771,11.97739147,17.42498212,1239.721623,a,adaysToShowa
Region.2europe,11.04507485,1.853974823,16.106507,119.203489,a,aRegion.2europea
Region.2me.gcc,11.98917438,5.18270183,16.03089691,229.4145356,a,aRegion.2me.gcca
chinese,15.41480957,-8.205742442,14.21118442,59.91065061,a,achinesea
agentdistributorsupplier,4.533291713,10.88661121,13.49438131,163.6023191,a,aagentdistributorsuppliera
nationality,13.44759655,2.841341199,12.73114463,63.78212311,a,anationalitya
visitor,-1.531848805,10.76343547,12.22483648,351.6129488,a,avisitora
other,9.736922181,0.394569073,11.95093926,99.71679551,a,aothera
big5,3.41149822,5.438337107,11.8587993,48.7614264,a,abig5a
distributor,-4.18236926,8.776637179,11.82774382,35.1176747,a,adistributora
saudiarabian,-0.542620937,12.74386067,11.06334893,76.01099696,a,asaudiarabiana
genericvip,10.90478827,-3.079555757,10.70460866,168.4793366,a,agenericvipa
middleeastconcreteandpmvlive,2.926040228,7.713063461,10.50983527,53.86042839,a,amiddleeastconcreteandpmvlivea
iranian,1.608801111,7.58490153,10.40877673,75.09025694,a,airaniana
exhibitor,2.176585976,7.487241388,10.29708876,668.1596874,a,aexhibitora
13,5.060225556,2.173190032,9.929993378,121.8612711,a,a13a
turkish,4.588434967,5.360876782,9.919593495,41.73089017,a,aturkisha
no,6.656045312,5.166398216,9.631889177,346.0217863,a,anoa
employed,0.535712797,7.37861075,9.610245254,163.5046685,a,aemployeda
nigerian,6.755241407,4.309489306,9.556911307,22.99823906,a,anigeriana
16,7.849035056,2.836806684,9.55608303,177.2566,a,a16a
pakistani,8.876244266,3.748646754,9.32871957,107.2683937,a,apakistania
international,3.986253581,5.533814733,9.096563682,116.7280747,a,ainternationala
constructiontoolsbuildingmaterials,4.188380815,4.704132304,9.041654686,148.675653,a,aconstructiontoolsbuildingmaterialsa
utmmedium,6.3644583,6.504142008,8.997204528,344.5164155,a,autmmediuma
vip,8.83604002,-5.237556019,8.973865384,144.5890198,a,avipa
17,6.672687642,2.569312251,8.888540171,178.5203988,a,a17a
buildingenvelopespecialconstruction,1.833796503,6.18699346,8.884179077,128.5719049,a,abuildingenvelopespecialconstructiona
yes,3.331654314,5.136603302,8.842293726,338.9657103,a,ayesa
14,-1.91302739,9.612703579,8.828491798,91.94786946,a,a14a
registeredinvitee,1.194993636,9.419463943,8.817262925,48.30364399,a,aregisteredinviteea
promotioncode,5.335658834,4.262817181,8.801043822,93.18216336,a,apromotioncodea
southkorean,8.373022023,1.386503893,8.691606977,18.24863948,a,asouthkoreana
buildinginteriorsfinishes,1.462576988,6.24037306,8.683927639,132.2248737,a,abuildinginteriorsfinishesa
qatari,7.378198361,6.11979993,8.562370411,15.20935009,a,aqataria
utmsource,4.912987976,6.720420904,8.52744441,261.5070862,a,autmsourcea
indian,5.38116325,3.423727452,8.348015885,189.7811853,a,aindiana
egyptian,7.550801019,2.979103087,8.220457143,107.6933367,a,aegyptiana
italian,9.903221081,-2.827964594,8.163156817,49.12733549,a,aitaliana
lighting,4.753124754,3.979242194,8.059334756,123.389706,a,alightinga
ecuadorian,7.507734502,-1.98596775,7.975135371,7.32409585,a,aecuadoriana
emirati,6.391815913,3.405706679,7.937678965,197.0283561,a,aemiratia
softwareforconstruction,8.729577137,2.552175657,7.908937665,109.417821,a,asoftwareforconstructiona
mepservices,-0.655464898,5.876198687,7.744979999,128.6163325,a,amepservicesa
campaignsource,3.955149599,4.720673843,7.695745347,140.7026291,a,acampaignsourcea
engineering,2.867659244,4.94464008,7.629908779,113.6744579,a,aengineeringa
distributornetworking,2.411037695,7.22180361,7.626314615,23.83629051,a,adistributornetworkinga
