"se","var"
-0.0802178751956914,"Region.2africa"
0.37855302512508,"Region.2americas"
0.343765733748031,"Region.2australiaasia"
0.77292298060785,"Region.2europe"
-0.153228406505229,"Region.2megcc"
0.474310101121894,"Region.2menongcc"
-0.0138468686093706,"daysToShow"
0.111475393986842,"distlookinginternationalyes"
-0.309933638303434,"distributor"
0.0234657734728692,"dummy0to10noemploy11to50"
-0.101782147554647,"dummy0to10noemploy251plus"
0.327627078513956,"dummy15to24age2534"
0.433683706775666,"dummy15to24age3544"
0.405325957753533,"dummy15to24age4554"
0.450188813162585,"dummy15to24age5564"
0.269311555164383,"dummy15to24age65"
-0.0232955146602995,"dummy50kbudgetdontknow"
0.0698463490640777,"dummy50kbudgetupto1000000"
0.147618988950736,"dummy50kbudgetupto10000000"
0.0343888590756444,"dummy50kbudgetupto500000"
0.0585980426727226,"dummy50kbudgetupto5000000"
-0.20733575428262,"dummyagentdistributorsuppliernobarchitecturalfirm"
-0.0858088708556034,"dummyagentdistributorsuppliernobbuildingconsultancy"
-0.0950237422652675,"dummyagentdistributorsuppliernobcementsupplier"
-0.223568839104079,"dummyagentdistributorsuppliernobcontractor"
-0.0492587311788095,"dummyagentdistributorsuppliernobeducationtraining"
-0.174714841954963,"dummyagentdistributorsuppliernobengineering"
-0.195670030538081,"dummyagentdistributorsuppliernobfacilitiesmanagement"
-0.0272006304922718,"dummyagentdistributorsuppliernobgovernmentmunicipality"
-0.187929275572614,"dummyagentdistributorsuppliernobinteriordesignagencyother"
-0.370471641295249,"dummyagentdistributorsuppliernobitsoftware"
-0.324799485765195,"dummyagentdistributorsuppliernoblandscaping"
0.162226727098882,"dummyagentdistributorsuppliernobmanufacturer"
-0.25656001242295,"dummyagentdistributorsuppliernobmepcontractor"
-0.0817858868610898,"dummyagentdistributorsuppliernobothers"
-0.198494682098993,"dummyagentdistributorsuppliernobpropertydeveloper"
-0.0630057631781968,"dummyagentdistributorsuppliernobsubcontractor"
-0.161705927515315,"dummyagentdistributorsuppliernobsurveying"
-0.421464238955714,"dummyagentdistributorsuppliernobwasterecycling"
0.0460070050172229,"dummycreditcardpaymentmodepaymentmodemastercard"
-0.156058812989109,"dummyfmexposaudiinterestedtoafricarenewableenergysummit45april2017"
-0.0456903682152377,"dummyfmexposaudiinterestedtofmexpodubai2527september2017"
-0.0419181746543844,"dummyfmexposaudiinterestedtomiddleeastwasterecyclingdubai2527september2017"
0.0279321742276188,"dummyfmexposaudiinterestedtothebig5dubai2629november2017"
0.00637102285391342,"dummyfmexposaudiinterestedtothebig5northafricacasablanca2527april2017"
0.031057159254983,"dummyfmexposaudiinterestedtowindowsdoorsfacadesdubai2527september2017"
0.345221764802747,"dummyinvitorrecommendcolleaguerecommednregisteredinvitee"
0.185354842822327,"dummymecshowregisteredbig5showregisteredbig5"
0.709028725553094,"dummynotpaidpaymentstatuspaymentstatusfoc"
0.836752304518452,"dummynotpaidpaymentstatuspaymentstatusreceived"
0.0285831710126577,"dummyotherbig5productslookingforbuildingenvelopespecialconstruction"
0.0660560311246423,"dummyotherbig5productslookingforbuildinginteriorsfinishes"
0.165252249904268,"dummyotherbig5productslookingforconstructiontoolsbuildingmaterials"
-0.0809444087432714,"dummyotherbig5productslookingfordesigntechnologies"
-0.0785093196052932,"dummyotherbig5productslookingforelectricalsystems"
0.0702139087679515,"dummyotherbig5productslookingforheatingventilationairconditioning"
-0.0811505617217956,"dummyotherbig5productslookingforlighting"
0.00773512862197502,"dummyotherbig5productslookingformepservices"
0.063782255257852,"dummyotherbig5productslookingforplumbingwatertechnology"
-0.0125910714392577,"dummyotherbig5productslookingforsecurityfireprotection"
-0.126203637502017,"dummyotherbig5productslookingforsoftwareforconstruction"
-0.023089128466569,"dummyothermecproductslookingforcementcementitiousproducts"
0.0513559510862514,"dummyothermecproductslookingforearthmovingequipment"
-0.00285638181329018,"dummyothermecproductslookingforexteriorimprovementsrepairretrofitting"
-0.00376742575538777,"dummyothermecproductslookingforfinishingtoolsequipment"
-0.0604234059728844,"dummyothermecproductslookingforformworkformworkaccessoriesscaffolding"
-0.0102272746654967,"dummyothermecproductslookingforpilingdrillingequipment"
-0.123491896957015,"dummyothermecproductslookingforprecastproductionequipment"
-0.0413645483957599,"dummyothermecproductslookingforpumpingequipmentaccessories"
-0.10105524563346,"dummyothermecproductslookingforreadymixedconcrete"
-0.162538263467802,"dummyothermecproductslookingforsiteclearingdemolitionrelocation"
-0.0134951701069675,"dummyothermecproductslookingforsiteinstallationequipment"
-0.316414500244741,"employedemployed"
-0.468481043774902,"manufacturer"
0.149540897747603,"purchaseauthorityyes"
0.0391353001512903,"studentstudent"
